X,CH1,Start,Increment,
Sequence,Volt,-3.000000e-06,5.000000e-09
0,0.00e+00,
1,2.00e-01,
2,0.00e+00,
3,4.00e-01,
4,3.00e-01,
5,0.00e+00,
6,3.00e-01,
7,-1.00e-01,
8,0.00e+00,
9,2.00e-01,
10,0.00e+00,
11,4.00e-01,
12,2.00e-01,
13,5.00e-01,
14,3.00e-01,
15,8.00e-01,
16,6.00e-01,
17,9.00e-01,
18,7.00e-01,
19,1.10e+00,
20,1.00e+00,
21,1.50e+00,
22,1.70e+00,
23,1.50e+00,
24,1.80e+00,
25,1.30e+00,
26,1.30e+00,
27,9.00e-01,
28,1.00e+00,
29,6.00e-01,
30,6.00e-01,
31,9.00e-01,
32,8.00e-01,
33,5.00e-01,
34,6.00e-01,
35,1.70e+00,
36,1.80e+00,
37,3.40e+00,
38,3.70e+00,
39,5.00e+00,
40,5.10e+00,
41,6.60e+00,
42,6.70e+00,
43,8.60e+00,
44,8.70e+00,
45,1.03e+01,
46,1.06e+01,
47,1.19e+01,
48,1.20e+01,
49,1.36e+01,
50,1.37e+01,
51,1.56e+01,
52,1.57e+01,
53,1.69e+01,
54,1.68e+01,
55,1.75e+01,
56,1.75e+01,
57,1.77e+01,
58,1.76e+01,
59,1.68e+01,
60,1.67e+01,
61,1.55e+01,
62,1.55e+01,
63,1.42e+01,
64,1.41e+01,
65,1.32e+01,
66,1.31e+01,
67,1.21e+01,
68,1.20e+01,
69,1.11e+01,
70,1.12e+01,
71,1.09e+01,
72,1.09e+01,
73,1.12e+01,
74,1.11e+01,
75,1.20e+01,
76,1.18e+01,
77,1.26e+01,
78,1.26e+01,
79,1.34e+01,
80,1.35e+01,
81,1.43e+01,
82,1.43e+01,
83,1.50e+01,
84,1.49e+01,
85,1.53e+01,
86,1.52e+01,
87,1.54e+01,
88,1.54e+01,
89,1.50e+01,
90,1.51e+01,
91,1.43e+01,
92,1.44e+01,
93,1.39e+01,
94,1.39e+01,
95,1.33e+01,
96,1.34e+01,
97,1.27e+01,
98,1.29e+01,
99,1.25e+01,
100,1.25e+01,
101,1.27e+01,
102,1.25e+01,
103,1.28e+01,
104,1.26e+01,
105,1.28e+01,
106,1.28e+01,
107,1.34e+01,
108,1.34e+01,
109,1.38e+01,
110,1.37e+01,
111,1.41e+01,
112,1.40e+01,
113,1.43e+01,
114,1.41e+01,
115,1.44e+01,
116,1.44e+01,
117,1.42e+01,
118,1.43e+01,
119,1.40e+01,
120,1.39e+01,
121,1.41e+01,
122,1.41e+01,
123,1.36e+01,
124,1.37e+01,
125,1.33e+01,
126,1.34e+01,
127,1.31e+01,
128,1.31e+01,
129,1.34e+01,
130,1.34e+01,
131,1.30e+01,
132,1.31e+01,
133,1.28e+01,
134,1.31e+01,
135,1.36e+01,
136,1.35e+01,
137,1.38e+01,
138,1.35e+01,
139,1.38e+01,
140,1.36e+01,
141,1.38e+01,
142,1.37e+01,
143,1.39e+01,
144,1.40e+01,
145,1.37e+01,
146,1.36e+01,
147,1.38e+01,
148,1.35e+01,
149,1.38e+01,
150,1.37e+01,
151,1.34e+01,
152,1.35e+01,
153,1.32e+01,
154,1.34e+01,
155,1.31e+01,
156,1.31e+01,
157,1.34e+01,
158,1.33e+01,
159,1.31e+01,
160,1.30e+01,
161,1.33e+01,
162,1.30e+01,
163,1.34e+01,
164,1.32e+01,
165,1.35e+01,
166,1.35e+01,
167,1.32e+01,
168,1.32e+01,
169,1.35e+01,
170,1.33e+01,
171,1.37e+01,
172,1.36e+01,
173,1.33e+01,
174,1.34e+01,
175,1.28e+01,
176,1.27e+01,
177,1.18e+01,
178,1.16e+01,
179,1.01e+01,
180,9.80e+00,
181,8.20e+00,
182,8.10e+00,
183,6.60e+00,
184,6.40e+00,
185,4.90e+00,
186,4.70e+00,
187,3.10e+00,
188,2.90e+00,
189,1.10e+00,
190,1.30e+00,
191,2.00e-01,
192,1.00e-01,
193,3.00e-01,
194,4.00e-01,
195,1.00e-01,
196,2.00e-01,
197,0.00e+00,
198,0.00e+00,
199,3.00e-01,
200,0.00e+00,
201,2.00e-01,
202,-1.00e-01,
203,1.00e-01,
204,-1.00e-01,
205,2.00e-01,
206,2.00e-01,
207,-1.00e-01,
208,2.00e-01,
209,-1.00e-01,
210,-1.00e-01,
211,1.00e-01,
212,-1.00e-01,
213,3.00e-01,
214,3.00e-01,
215,-1.00e-01,
216,-1.00e-01,
217,2.00e-01,
218,-1.00e-01,
219,2.00e-01,
220,3.00e-01,
221,-1.00e-01,
222,2.00e-01,
223,-1.00e-01,
224,2.00e-01,
225,-1.00e-01,
226,3.00e-01,
227,-1.00e-01,
228,2.00e-01,
229,-1.00e-01,
230,2.00e-01,
231,-2.00e-01,
232,-1.00e-01,
233,1.00e-01,
234,0.00e+00,
235,2.00e-01,
236,2.00e-01,
237,0.00e+00,
238,2.00e-01,
239,-1.00e-01,
240,-1.00e-01,
241,2.00e-01,
242,0.00e+00,
243,3.00e-01,
244,2.00e-01,
245,-1.00e-01,
246,0.00e+00,
247,4.00e-01,
248,4.00e-01,
249,0.00e+00,
250,1.00e-01,
251,4.00e-01,
252,2.00e-01,
253,7.00e-01,
254,6.00e-01,
255,9.00e-01,
256,1.10e+00,
257,7.00e-01,
258,9.00e-01,
259,1.40e+00,
260,1.40e+00,
261,2.30e+00,
262,2.30e+00,
263,1.60e+00,
264,1.50e+00,
265,1.00e+00,
266,9.00e-01,
267,7.00e-01,
268,1.00e+00,
269,4.00e-01,
270,6.00e-01,
271,3.00e-01,
272,5.00e-01,
273,2.00e-01,
274,1.00e-01,
275,4.00e-01,
276,4.00e-01,
277,0.00e+00,
278,2.00e-01,
279,-1.00e-01,
280,2.00e-01,
281,0.00e+00,
282,1.00e-01,
283,3.00e-01,
284,0.00e+00,
285,3.00e-01,
286,3.00e-01,
287,0.00e+00,
288,0.00e+00,
289,3.00e-01,
290,4.00e-01,
291,0.00e+00,
292,2.00e-01,
293,5.00e-01,
294,6.00e-01,
295,3.00e-01,
296,5.00e-01,
297,9.00e-01,
298,7.00e-01,
299,1.00e+00,
300,8.00e-01,
301,1.60e+00,
302,1.40e+00,
303,1.90e+00,
304,1.80e+00,
305,1.40e+00,
306,1.50e+00,
307,1.20e+00,
308,1.50e+00,
309,2.30e+00,
310,2.50e+00,
311,3.60e+00,
312,3.60e+00,
313,4.80e+00,
314,5.10e+00,
315,6.80e+00,
316,6.90e+00,
317,8.50e+00,
318,8.80e+00,
319,1.01e+01,
320,1.02e+01,
321,1.18e+01,
322,1.19e+01,
323,1.37e+01,
324,1.38e+01,
325,1.53e+01,
326,1.54e+01,
327,1.63e+01,
328,1.63e+01,
329,1.70e+01,
330,1.69e+01,
331,1.73e+01,
332,1.72e+01,
333,1.65e+01,
334,1.63e+01,
335,1.50e+01,
336,1.49e+01,
337,1.41e+01,
338,1.41e+01,
339,1.32e+01,
340,1.31e+01,
341,1.21e+01,
342,1.20e+01,
343,1.13e+01,
344,1.14e+01,
345,1.11e+01,
346,1.12e+01,
347,1.15e+01,
348,1.15e+01,
349,1.20e+01,
350,1.20e+01,
351,1.28e+01,
352,1.28e+01,
353,1.37e+01,
354,1.37e+01,
355,1.43e+01,
356,1.43e+01,
357,1.49e+01,
358,1.48e+01,
359,1.52e+01,
360,1.50e+01,
361,1.53e+01,
362,1.51e+01,
363,1.46e+01,
364,1.48e+01,
365,1.42e+01,
366,1.43e+01,
367,1.38e+01,
368,1.37e+01,
369,1.32e+01,
370,1.33e+01,
371,1.27e+01,
372,1.26e+01,
373,1.30e+01,
374,1.28e+01,
375,1.26e+01,
376,1.26e+01,
377,1.28e+01,
378,1.27e+01,
379,1.31e+01,
380,1.31e+01,
381,1.34e+01,
382,1.34e+01,
383,1.37e+01,
384,1.36e+01,
385,1.39e+01,
386,1.38e+01,
387,1.44e+01,
388,1.44e+01,
389,1.41e+01,
390,1.43e+01,
391,1.41e+01,
392,1.40e+01,
393,1.43e+01,
394,1.39e+01,
395,1.41e+01,
396,1.38e+01,
397,1.35e+01,
398,1.36e+01,
399,1.32e+01,
400,1.32e+01,
401,1.34e+01,
402,1.34e+01,
403,1.31e+01,
404,1.33e+01,
405,1.30e+01,
406,1.31e+01,
407,1.33e+01,
408,1.32e+01,
409,1.35e+01,
410,1.33e+01,
411,1.36e+01,
412,1.35e+01,
413,1.38e+01,
414,1.37e+01,
415,1.40e+01,
416,1.38e+01,
417,1.41e+01,
418,1.40e+01,
419,1.37e+01,
420,1.36e+01,
421,1.40e+01,
422,1.36e+01,
423,1.39e+01,
424,1.38e+01,
425,1.34e+01,
426,1.36e+01,
427,1.32e+01,
428,1.34e+01,
429,1.32e+01,
430,1.31e+01,
431,1.34e+01,
432,1.33e+01,
433,1.30e+01,
434,1.30e+01,
435,1.33e+01,
436,1.31e+01,
437,1.33e+01,
438,1.33e+01,
439,1.31e+01,
